Time,x_d,y_d,theta_d,delta_,v_,ddelta_dt
0,0,0,-0,-0.1877619,0.5329659,0
0.0500417,0.0262013,-6.87e-05,-0.0052406,-0.1877922,0.5329471,-0.0006043
0.1000834,0.0523997,-0.0002746,-0.0104824,-0.1878828,0.5328904,-0.0018135
0.1501251,0.0785924,-0.0006179,-0.0157269,-0.188034,0.532796,-0.0030239
0.2001668,0.1047764,-0.0010984,-0.0209752,-0.1882459,0.5326639,-0.0042365
0.2502085,0.1309489,-0.0017162,-0.0262288,-0.1885185,0.5324941,-0.0054522
0.3002502,0.157107,-0.0024713,-0.0314888,-0.1888521,0.5322869,-0.0066719
0.3502919,0.1832479,-0.0033636,-0.0367566,-0.1892469,0.5320422,-0.0078964
0.4003336,0.2093687,-0.0043932,-0.0420335,-0.1897032,0.5317603,-0.0091267
0.4503753,0.2354664,-0.0055599,-0.0473209,-0.1902214,0.5314413,-0.0103636
0.500417,0.2615383,-0.0068638,-0.05262,-0.1908018,0.5310853,-0.0116079
0.5504587,0.2875815,-0.0083047,-0.0579321,-0.1914448,0.5306926,-0.0128607
0.6005004,0.313593,-0.0098828,-0.0632586,-0.192151,0.5302634,-0.0141228
0.6505421,0.3395702,-0.0115979,-0.0686009,-0.1929207,0.5297979,-0.015395
0.7005838,0.36551,-0.01345,-0.0739602,-0.1937546,0.5292964,-0.0166784
0.7506255,0.3914096,-0.015439,-0.079338,-0.1946533,0.5287593,-0.0179737
0.8006672,0.4172663,-0.0175649,-0.0847355,-0.1956174,0.5281867,-0.0192819
0.8507089,0.4430772,-0.0198277,-0.0901543,-0.1966476,0.5275791,-0.020604
0.9007506,0.4688393,-0.0222272,-0.0955956,-0.1977447,0.5269368,-0.0219407
0.9507923,0.49455,-0.0247634,-0.1010608,-0.1989093,0.5262602,-0.0232931
1.000834,0.5202064,-0.0274362,-0.1065514,-0.2001424,0.5255498,-0.024662
1.0508757,0.5458056,-0.0302456,-0.1120688,-0.2014448,0.5248058,-0.0260483
1.1009174,0.5713448,-0.0331914,-0.1176143,-0.2028175,0.5240289,-0.027453
1.1509591,0.5968213,-0.0362736,-0.1231896,-0.2042613,0.5232194,-0.028877
1.2010008,0.6222323,-0.0394922,-0.1287959,-0.2057774,0.522378,-0.0303212
1.2510425,0.6475749,-0.042847,-0.1344349,-0.2073667,0.5215051,-0.0317865
1.3010842,0.6728463,-0.0463379,-0.1401079,-0.2090304,0.5206013,-0.0332738
1.3511259,0.6980439,-0.0499648,-0.1458165,-0.2107696,0.5196671,-0.0347841
1.4011676,0.7231648,-0.0537277,-0.1515623,-0.2125855,0.5187033,-0.0363181
1.4512093,0.7482062,-0.0576264,-0.1573467,-0.2144794,0.5177105,-0.0378769
1.501251,0.7731654,-0.0616608,-0.1631713,-0.2164524,0.5166893,-0.0394612
1.5512927,0.7980398,-0.0658308,-0.1690377,-0.218506,0.5156405,-0.041072
1.6013344,0.8228264,-0.0701364,-0.1749475,-0.2206415,0.5145647,-0.0427101
1.6513761,0.8475227,-0.0745773,-0.1809024,-0.2228604,0.5134628,-0.0443764
1.7014178,0.8721259,-0.0791535,-0.1869039,-0.2251639,0.5123356,-0.0460716
1.7514595,0.8966333,-0.0838648,-0.1929537,-0.2275538,0.5111839,-0.0477966
1.8015013,0.9210422,-0.0887111,-0.1990536,-0.2300314,0.5100085,-0.0495522
1.851543,0.9453499,-0.0936923,-0.2052052,-0.2325983,0.5088104,-0.051339
1.9015847,0.9695538,-0.0988082,-0.2114102,-0.2352562,0.5075905,-0.0531578
1.9516264,0.9936512,-0.1040587,-0.2176704,-0.2380067,0.5063498,-0.0550092
2.0016681,1.0176394,-0.1094437,-0.2239876,-0.2408514,0.5050893,-0.0568939
2.0517098,1.0415159,-0.1149629,-0.2303635,-0.243792,0.5038101,-0.0588124
2.1017515,1.0652779,-0.1206163,-0.2368001,-0.2468303,0.5025131,-0.0607653
2.1517932,1.088923,-0.1264037,-0.2432991,-0.2499679,0.5011996,-0.062753
2.2018349,1.1124484,-0.132325,-0.2498625,-0.2532067,0.4998707,-0.0647758
2.2518766,1.1358516,-0.1383799,-0.2564921,-0.2565484,0.4985276,-0.0668341
2.3019183,1.1591301,-0.1445683,-0.2631898,-0.2599948,0.4971716,-0.0689281
2.35196,1.1822812,-0.15089,-0.2699577,-0.2635477,0.4958039,-0.0710579
2.4020017,1.2053025,-0.1573449,-0.2767977,-0.2672089,0.4944259,-0.0732235
2.4520434,1.2281914,-0.1639328,-0.2837118,-0.2709801,0.4930389,-0.0754249
2.5020851,1.2509454,-0.1706535,-0.290702,-0.2748632,0.4916443,-0.0776618
2.5521268,1.2735619,-0.1775069,-0.2977705,-0.2788599,0.4902436,-0.0799338
2.6021685,1.2960386,-0.1844926,-0.3049192,-0.2829719,0.4888383,-0.0822405
2.6522102,1.3183729,-0.1916106,-0.3121504,-0.287201,0.48743,-0.0845812
2.7022519,1.3405624,-0.1988607,-0.3194662,-0.2915487,0.4860201,-0.086955
2.7522936,1.3626046,-0.2062425,-0.3268686,-0.2960168,0.4846104,-0.089361
2.8023353,1.3844972,-0.2137561,-0.33436,-0.3006067,0.4832025,-0.0917979
2.852377,1.4062376,-0.221401,-0.3419426,-0.3053199,0.4817982,-0.0942643
2.9024187,1.4278237,-0.2291772,-0.3496185,-0.3101578,0.4803991,-0.0967585
2.9524604,1.4492528,-0.2370844,-0.3573901,-0.3151218,0.4790071,-0.0992787
3.0025021,1.4705228,-0.2451224,-0.3652597,-0.3202129,0.4776241,-0.1018226
3.0525438,1.4916313,-0.253291,-0.3732295,-0.3254323,0.4762519,-0.1043878
3.1025855,1.5125759,-0.2615899,-0.3813019,-0.3307809,0.4748924,-0.1069715
3.1526272,1.5333543,-0.270019,-0.3894792,-0.3362594,0.4735475,-0.1095708
3.2026689,1.5539644,-0.2785779,-0.3977638,-0.3418685,0.4722194,-0.1121823
3.2527106,1.5744037,-0.2872665,-0.4061582,-0.3476086,0.47091,-0.1148022
3.3027523,1.5946701,-0.2960845,-0.4146646,-0.3534799,0.4696213,-0.1174265
3.352794,1.6147613,-0.3050317,-0.4232855,-0.3594825,0.4683554,-0.1200509
3.4028357,1.6346752,-0.3141078,-0.4320233,-0.365616,0.4671145,-0.1226704
3.4528774,1.6544095,-0.3233126,-0.4408804,-0.37188,0.4659006,-0.1252799
3.5029191,1.6739621,-0.3326458,-0.4498593,-0.3782737,0.4647159,-0.1278738
3.5529608,1.6933307,-0.3421072,-0.4589623,-0.384796,0.4635625,-0.1304462
3.6030025,1.7125134,-0.3516965,-0.468192,-0.3914455,0.4624426,-0.1329907
3.6530442,1.731508,-0.3614135,-0.4775506,-0.3982206,0.4613582,-0.1355003
3.7030859,1.7503124,-0.3712578,-0.4870406,-0.405119,0.4603116,-0.137968
3.7531276,1.7689245,-0.3812293,-0.4966643,-0.4121383,0.4593047,-0.140386
3.8031693,1.7873424,-0.3913276,-0.5064242,-0.4192756,0.4583398,-0.1427464
3.853211,1.8055638,-0.4015524,-0.5163225,-0.4265276,0.4574188,-0.1450407
3.9032527,1.823587,-0.4119035,-0.5263615,-0.4338906,0.4565437,-0.1472602
3.9532944,1.8414099,-0.4223806,-0.5365435,-0.4413604,0.4557165,-0.1493956
4.0033361,1.8590304,-0.4329835,-0.5468707,-0.4489323,0.454939,-0.1514375
4.0533778,1.8764468,-0.4437117,-0.5573453,-0.4566011,0.4542131,-0.1533762
