Time,x_d,y_d,theta_d,v_d,delta_
0,0,0,0,1,0
0.050209,0.050725,0,0,1,0
0.100418,0.101449,0,0,1,0
0.150628,0.152174,0,0,1,0
0.200837,0.202899,0,0,1,0
0.251046,0.253623,0,0,1,0
0.301255,0.304348,0,0,1,0
0.351464,0.355072,0,0,1,0
0.401674,0.405797,0,0,1,0
0.451883,0.456522,0,0,1,0
0.502092,0.507246,0,0,1,0
0.552301,0.557971,0,0,1,0
0.60251,0.608696,0,0,1,0
0.65272,0.65942,0,0,1,0
0.702929,0.710145,0,0,1,0
0.753138,0.76087,0,0,1,0
0.803347,0.811594,0,0,1,0
0.853556,0.862319,0,0,1,0
0.903766,0.913043,0,0,1,0
0.953975,0.963768,0,0,1,0
1.004184,1.014493,0,0,1,0
1.054393,1.065217,0,0,1,0
1.104603,1.115942,0,0,1,0
1.154812,1.166667,0,0,1,0
1.205021,1.217391,0,0,1,0
1.25523,1.268116,0,0,1,0
1.305439,1.318841,0,0,1,0
1.355649,1.369565,0,0,1,0
1.405858,1.42029,0,0,1,0
1.456067,1.471014,0,0,1,0
1.506276,1.521739,0,0,1,0
1.556485,1.572464,0,0,1,0
1.606695,1.623188,0,0,1,0
1.656904,1.673913,0,0,1,0
1.707113,1.724638,0,0,1,0
1.757322,1.775362,0,0,1,0
1.807531,1.826087,0,0,1,0
1.857741,1.876812,0,0,1,0
1.90795,1.927536,0,0,1,0
1.958159,1.978261,0,0,1,0
2.008368,2.028986,0,0,1,0
2.058577,2.07971,0,0,1,0
2.108787,2.130435,0,0,1,0
2.158996,2.181159,0,0,1,0
2.209205,2.231884,0,0,1,0
2.259414,2.282609,0,0,1,0
2.309623,2.333333,0,0,1,0
2.359833,2.384058,0,0,1,0
2.410042,2.434783,0,0,1,0
2.460251,2.485507,0,0,1,0
2.51046,2.536232,0,0,1,0
2.560669,2.586957,0,0,1,0
2.610879,2.637681,0,0,1,0
2.661088,2.688406,0,0,1,0
2.711297,2.73913,0,0,1,0
2.761506,2.789855,0,0,1,0
2.811715,2.84058,0,0,1,0
2.861925,2.891304,0,0,1,0
2.912134,2.942029,0,0,1,0
2.962343,2.992754,0,0,1,0
3.012552,3.043478,0,0,1,0
3.062762,3.094203,0,0,1,0
3.112971,3.144928,0,0,1,0
3.16318,3.195652,0,0,1,0
3.213389,3.246377,0,0,1,0
3.263598,3.297101,0,0,1,0
3.313808,3.347826,0,0,1,0
3.364017,3.398551,0,0,1,0
3.414226,3.449275,0,0,1,0
3.464435,3.5,0,0,1,0
3.514644,3.5,0,-0,1.1747,0.639635
3.564854,3.548077,0.000771,0.032057,1.1747,0.639635
3.615063,3.596105,0.003082,0.064114,1.1747,0.639635
3.665272,3.644035,0.006931,0.096171,1.1747,0.639635
3.715481,3.691816,0.012315,0.128228,1.1747,0.639635
3.76569,3.7394,0.019227,0.160285,1.1747,0.639635
3.8159,3.786738,0.027661,0.192342,1.1747,0.639635
3.866109,3.833781,0.037608,0.224399,1.1747,0.639635
3.916318,3.880482,0.049058,0.256457,1.1747,0.639635
3.966527,3.926791,0.061998,0.288514,1.1747,0.639635
4.016736,3.972662,0.076416,0.320571,1.1747,0.639635
4.066946,4.018048,0.092297,0.352628,1.1747,0.639635
