Time,x_d,y_d,theta_d,v_d,delta_
0,0,0,0,1,0
0.050193,0.050562,0,0,1,0
0.100386,0.101124,0,0,1,0
0.150579,0.151685,0,0,1,0
0.200772,0.202247,0,0,1,0
0.250965,0.252809,0,0,1,0
0.301158,0.303371,0,0,1,0
0.351351,0.353933,0,0,1,0
0.401544,0.404494,0,0,1,0
0.451737,0.455056,0,0,1,0
0.501931,0.505618,0,0,1,0
0.552124,0.55618,0,0,1,0
0.602317,0.606742,0,0,1,0
0.65251,0.657303,0,0,1,0
0.702703,0.707865,0,0,1,0
0.752896,0.758427,0,0,1,0
0.803089,0.808989,0,0,1,0
0.853282,0.859551,0,0,1,0
0.903475,0.910112,0,0,1,0
0.953668,0.960674,0,0,1,0
1.003861,1.011236,0,0,1,0
1.054054,1.061798,0,0,1,0
1.104247,1.11236,0,0,1,0
1.15444,1.162921,0,0,1,0
1.204633,1.213483,0,0,1,0
1.254826,1.264045,0,0,1,0
1.305019,1.314607,0,0,1,0
1.355212,1.365169,0,0,1,0
1.405405,1.41573,0,0,1,0
1.455598,1.466292,0,0,1,0
1.505792,1.516854,0,0,1,0
1.555985,1.567416,0,0,1,0
1.606178,1.617978,0,0,1,0
1.656371,1.668539,0,0,1,0
1.706564,1.719101,0,0,1,0
1.756757,1.769663,0,0,1,0
1.80695,1.820225,0,0,1,0
1.857143,1.870787,0,0,1,0
1.907336,1.921348,0,0,1,0
1.957529,1.97191,0,0,1,0
2.007722,2.022472,0,0,1,0
2.057915,2.073034,0,0,1,0
2.108108,2.123596,0,0,1,0
2.158301,2.174157,0,0,1,0
2.208494,2.224719,0,0,1,0
2.258687,2.275281,0,0,1,0
2.30888,2.325843,0,0,1,0
2.359073,2.376404,0,0,1,0
2.409266,2.426966,0,0,1,0
2.459459,2.477528,0,0,1,0
2.509653,2.52809,0,0,1,0
2.559846,2.578652,0,0,1,0
2.610039,2.629213,0,0,1,0
2.660232,2.679775,0,0,1,0
2.710425,2.730337,0,0,1,0
2.760618,2.780899,0,0,1,0
2.810811,2.831461,0,0,1,0
2.861004,2.882022,0,0,1,0
2.911197,2.932584,0,0,1,0
2.96139,2.983146,0,0,1,0
3.011583,3.033708,0,0,1,0
3.061776,3.08427,0,0,1,0
3.111969,3.134831,0,0,1,0
3.162162,3.185393,0,0,1,0
3.212355,3.235955,0,0,1,0
3.262548,3.286517,0,0,1,0
3.312741,3.337079,0,0,1,0
3.362934,3.38764,0,0,1,0
3.413127,3.438202,0,0,1,0
3.46332,3.488764,0,0,1,0
3.513514,3.539326,0,0,1,0
3.563707,3.589888,0,0,1,0
3.6139,3.640449,0,0,1,0
3.664093,3.691011,0,0,1,0
3.714286,3.741573,0,0,1,0
3.764479,3.792135,0,0,1,0
3.814672,3.842697,0,0,1,0
3.864865,3.893258,0,0,1,0
3.915058,3.94382,0,0,1,0
3.965251,3.994382,0,0,1,0
4.015444,4.044944,0,0,1,0
4.065637,4.095506,0,0,1,0
4.11583,4.146067,0,0,1,0
4.166023,4.196629,0,0,1,0
4.216216,4.247191,0,0,1,0
4.266409,4.297753,0,0,1,0
4.316602,4.348315,0,0,1,0
4.366795,4.398876,0,0,1,0
4.416988,4.449438,0,0,1,0
4.467181,4.5,0,0,1,0
4.517375,4.5,0,0,1.686321,1.086318
4.567568,4.54129,0.001708,0.082673,1.686321,1.086318
4.617761,4.582297,0.006819,0.165347,1.686321,1.086318
4.667954,4.622743,0.0153,0.24802,1.686321,1.086318
4.718147,4.66235,0.027091,0.330694,1.686321,1.086318
4.76834,4.700848,0.042113,0.413367,1.686321,1.086318
4.818533,4.737974,0.060263,0.496041,1.686321,1.086318
4.868726,4.773474,0.081417,0.578714,1.686321,1.086318
4.918919,4.807106,0.10543,0.661388,1.686321,1.086318
4.969112,4.838641,0.132138,0.744061,1.686321,1.086318
5.019305,4.867862,0.161359,0.826735,1.686321,1.086318
5.069498,4.89457,0.192894,0.909408,1.686321,1.086318
5.119691,4.918583,0.226526,0.992082,1.686321,1.086318
5.169884,4.939737,0.262026,1.074755,1.686321,1.086318
5.220077,4.957887,0.299152,1.157429,1.686321,1.086318
5.27027,4.972909,0.33765,1.240102,1.686321,1.086318
5.320463,4.9847,0.377257,1.322776,1.686321,1.086318
5.370656,4.993181,0.417703,1.405449,1.686321,1.086318
5.420849,4.998292,0.45871,1.488123,1.686321,1.086318
5.471042,5,0.5,1.570796,1.686321,1.086318
5.521236,5,0.5,1.570796,1,0
5.571429,5,0.551282,1.570796,1,0
5.621622,5,0.602564,1.570796,1,0
5.671815,5,0.653846,1.570796,1,0
5.722008,5,0.705128,1.570796,1,0
5.772201,5,0.75641,1.570796,1,0
