Time [s], x [m], y [m], theta [rad], v_rear [m/s], w_rear [rad/s], v_front [m/s], delta [rad]
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 0.0489864, 0.0, 0.0, 0.146959, 0.0, 0.146959, 0.0
2.0, 0.358899, 0.0, 0.0, 0.445573, 0.0, 0.445573, 0.0
3.0, 0.847859, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
4.0, 1.34786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
5.0, 1.84786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
6.0, 2.34786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
7.0, 2.84786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
8.0, 3.34786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
9.0, 3.8279, 0.0, 0.0, 0.419234, 0.0, 0.419234, 0.0
10.0, 4.12097, 0.0, 0.0, 0.193093, 0.0, 0.193093, 0.0
11.0, 4.36026, 0.00291959, 0.0505627, 0.1732574265795175, 0.101125, 0.20061007325146188, 0.5283249051595609
12.0, 4.53215, 0.0232928, 0.202251, 0.17325750744195761, 0.202251, 0.266314909244676, 0.8624565562357734
13.0, 4.69616, 0.0776847, 0.455064, 0.17325787025705353, 0.303376, 0.34936411805165396, 1.0518983459128983
14.0, 4.84023, 0.177441, 0.808653, 0.17325759385666187, 0.392612, 0.4291414409877004, 1.1552052702577214
15.0, 4.93526, 0.326252, 1.1507, 0.17325761173108672, 0.291486, 0.33909038355394266, 1.0345088734249879
16.0, 4.98287, 0.494744, 1.39163, 0.17325751025248515, 0.190361, 0.25740138923457656, 0.8324004262852571
17.0, 4.99752, 0.668167, 1.53142, 0.1732572699008157, 0.0892356, 0.19488733637885272, 0.47561245035440347
18.0, 4.99661, 0.841594, 1.5701, 0.17325704232282219, -0.0118897, 0.17366452625836457, -0.06851720536405734
19.0, 5.0, 1.0352, 1.5708, 0.320217, 0.0, 0.320217, 0.0
20.0, 5.0, 1.46851, 1.5708, 0.498263, 0.0, 0.498263, 0.0
21.0, 5.0, 1.96845, 1.5708, 0.5, 0.0, 0.5, 0.0
22.0, 5.0, 2.46845, 1.5708, 0.5, 0.0, 0.5, 0.0
23.0, 5.0, 2.96845, 1.5708, 0.5, 0.0, 0.5, 0.0
24.0, 5.0, 3.46845, 1.5708, 0.5, 0.0, 0.5, 0.0
25.0, 5.0, 3.96845, 1.5708, 0.5, 0.0, 0.5, 0.0
26.0, 5.0, 4.46776, 1.5708, 0.491452, 0.0, 0.491452, 0.0
27.0, 5.0, 4.87478, 1.5708, 0.273605, 0.0, 0.273605, 0.0
28.0, 5.0, 4.99757, 1.5708, 0.0198354, 0.0, 0.0198354, 0.0
