Time [s], x [m], y [m], theta [rad], v_rear [m/s], w_rear [rad/s], v_front [m/s], delta [rad]
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 0.0489864, 0.0, 0.0, 0.146959, 0.0, 0.146959, 0.0
2.0, 0.358899, 0.0, 0.0, 0.445573, 0.0, 0.445573, 0.0
3.0, 0.847859, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
4.0, 1.34786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
5.0, 1.84786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
6.0, 2.34786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
7.0, 2.82762, 0.0, 0.0, 0.418485, 0.0, 0.418485, 0.0
8.0, 3.13153, 0.0, 0.0, 0.224627, 0.0, 0.224627, 0.0
9.0, 3.39665, 0.00115662, 0.0159283, 0.21784663443406327, 0.0318566, 0.22016357350344856, 0.145204867349188
10.0, 3.61433, 0.00925045, 0.0637131, 0.21784700880914107, 0.0637131, 0.22697285819828764, 0.2845317020198625
11.0, 3.83101, 0.0311835, 0.143355, 0.21784660784655335, 0.0955697, 0.23788802430626893, 0.4134187241224893
12.0, 4.04455, 0.0736823, 0.254853, 0.2178463438942458, 0.127426, 0.2523775247998324, 0.5292688083168497
13.0, 4.2509, 0.142951, 0.398207, 0.2178468092512718, 0.159283, 0.26986720139720577, 0.6313404371042598
14.0, 4.44356, 0.244028, 0.573418, 0.21784616933285744, 0.191139, 0.2898121302050692, 0.7201896758315949
15.0, 4.61343, 0.379797, 0.780486, 0.2178466734655363, 0.222996, 0.31174410845435396, 0.7970782766817464
16.0, 4.75113, 0.550339, 0.988939, 0.21784681023600047, 0.192541, 0.29073917763349333, 0.7238129779491156
17.0, 4.85333, 0.743863, 1.16555, 0.2178463277131152, 0.160684, 0.27069608485179464, 0.6355193916939463
18.0, 4.92313, 0.950966, 1.31031, 0.2178462358132451, 0.128828, 0.2530881981483925, 0.5340506694176493
19.0, 4.96568, 1.16508, 1.42321, 0.21784634247581483, 0.096971, 0.23845419637970308, 0.4188007099594871
20.0, 4.98727, 1.38211, 1.50425, 0.2178471852301287, 0.0651145, 0.22737038994323777, 0.2904472151633545
21.0, 4.99468, 1.59995, 1.55344, 0.21784682692699106, 0.0332579, 0.22037088717561673, 0.1514966894174955
22.0, 4.99484, 1.81782, 1.57077, 0.21784700010347285, 0.00140133, 0.21785150717828738, 0.006432545187093684
23.0, 5.0, 2.08802, 1.5708, 0.364686, 0.0, 0.364686, 0.0
24.0, 5.0, 2.54474, 1.5708, 0.5, 0.0, 0.5, 0.0
25.0, 5.0, 3.04474, 1.5708, 0.5, 0.0, 0.5, 0.0
26.0, 5.0, 3.54474, 1.5708, 0.5, 0.0, 0.5, 0.0
27.0, 5.0, 4.04474, 1.5708, 0.5, 0.0, 0.5, 0.0
28.0, 5.0, 4.54474, 1.5708, 0.5, 0.0, 0.5, 0.0
29.0, 5.0, 5.04474, 1.5708, 0.5, 0.0, 0.5, 0.0
30.0, 5.0, 5.54474, 1.5708, 0.5, 0.0, 0.5, 0.0
31.0, 5.0, 6.04474, 1.5708, 0.5, 0.0, 0.5, 0.0
32.0, 5.0, 6.54474, 1.5708, 0.5, 0.0, 0.5, 0.0
33.0, 5.0, 7.04474, 1.5708, 0.5, 0.0, 0.5, 0.0
34.0, 5.0, 7.54474, 1.5708, 0.5, 0.0, 0.5, 0.0
35.0, 5.0, 8.04474, 1.5708, 0.5, 0.0, 0.5, 0.0
36.0, 5.0, 8.54474, 1.5708, 0.5, 0.0, 0.5, 0.0
37.0, 5.0, 9.04474, 1.5708, 0.5, 0.0, 0.5, 0.0
38.0, 5.0, 9.54474, 1.5708, 0.5, 0.0, 0.5, 0.0
39.0, 5.0, 10.0447, 1.5708, 0.5, 0.0, 0.5, 0.0
40.0, 5.0, 10.5447, 1.5708, 0.5, 0.0, 0.5, 0.0
41.0, 5.0, 11.0447, 1.5708, 0.5, 0.0, 0.5, 0.0
42.0, 5.0, 11.5447, 1.5708, 0.5, 0.0, 0.5, 0.0
43.0, 5.0, 12.0447, 1.5708, 0.5, 0.0, 0.5, 0.0
44.0, 5.0, 12.5447, 1.5708, 0.5, 0.0, 0.5, 0.0
45.0, 5.0, 13.0447, 1.5708, 0.5, 0.0, 0.5, 0.0
46.0, 5.0, 13.5447, 1.5708, 0.5, 0.0, 0.5, 0.0
47.0, 5.0, 14.0447, 1.5708, 0.5, 0.0, 0.5, 0.0
48.0, 5.0, 14.5418, 1.5708, 0.477214, 0.0, 0.477214, 0.0
49.0, 5.0, 14.9122, 1.5708, 0.216873, 0.0, 0.216873, 0.0
50.0, 5.0, 14.9995, 1.5708, 0.00678043, 0.0, 0.00678043, 0.0
