Time [s], x [m], y [m], theta [rad], v_rear [m/s], w_rear [rad/s], v_front [m/s], delta [rad]
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 0.0489864, 0.0, 0.0, 0.146959, 0.0, 0.146959, 0.0
2.0, 0.358899, 0.0, 0.0, 0.445573, 0.0, 0.445573, 0.0
3.0, 0.847859, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
4.0, 1.34786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
5.0, 1.84786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
6.0, 2.34786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
7.0, 2.84786, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
8.0, 3.32771, 0.0, 0.0, 0.418731, 0.0, 0.418731, 0.0
9.0, 3.6273, 0.0, 0.0, 0.212595, 0.0, 0.212595, 0.0
10.0, 3.88473, 0.00175829, 0.0261381, 0.20181693701280476, 0.0522763, 0.2084775470090734, 0.25345767981339623
11.0, 4.08612, 0.014056, 0.104553, 0.2018170539905139, 0.104553, 0.22729155965501666, 0.4779896616087248
12.0, 4.28504, 0.0472888, 0.235243, 0.20181749238695837, 0.156829, 0.25558880154333835, 0.6606103009082451
13.0, 4.47619, 0.111138, 0.41821, 0.20181714876989518, 0.209105, 0.2906115320537194, 0.8031316617793769
14.0, 4.64977, 0.213183, 0.653453, 0.2018173916242106, 0.261381, 0.33022762864878524, 0.9132883205041429
15.0, 4.79397, 0.356816, 0.926924, 0.20181721378762515, 0.259458, 0.3287075319261791, 0.9097134219924758
16.0, 4.89419, 0.533942, 1.16024, 0.20181687429174497, 0.207182, 0.2892307588637315, 0.7985151139421229
17.0, 4.95556, 0.727332, 1.34129, 0.20181699026405087, 0.154905, 0.25441237506112, 0.6546399712095832
18.0, 4.98626, 0.927413, 1.47006, 0.20181723064597334, 0.102629, 0.22641313174506905, 0.4704439050817373
19.0, 4.99625, 1.12925, 1.54655, 0.20181733816209174, 0.0503529, 0.20800397236889995, 0.24450556657349465
20.0, 4.99606, 1.33113, 1.57076, 0.20181700012633552, -0.00192339, 0.20182616522414878, -0.009530078087998495
21.0, 5.0, 1.56788, 1.5708, 0.348776, 0.0, 0.348776, 0.0
22.0, 5.0, 2.01673, 1.5708, 0.499969, 0.0, 0.499969, 0.0
23.0, 5.0, 2.51673, 1.5708, 0.5, 0.0, 0.5, 0.0
24.0, 5.0, 3.01673, 1.5708, 0.5, 0.0, 0.5, 0.0
25.0, 5.0, 3.51673, 1.5708, 0.5, 0.0, 0.5, 0.0
26.0, 5.0, 4.01673, 1.5708, 0.5, 0.0, 0.5, 0.0
27.0, 5.0, 4.51485, 1.5708, 0.483236, 0.0, 0.483236, 0.0
28.0, 5.0, 4.89946, 1.5708, 0.237335, 0.0, 0.237335, 0.0
29.0, 5.0, 4.99903, 1.5708, 0.0107781, 0.0, 0.0107781, 0.0
